,city,state,city_size,mode,n,percent,moe,state_abb,state_region
303,Daphne city,Alabama,Small,Bike,91,0.9,1.3,AL,South
304,Darien city,Illinois,Small,Bike,30,0.3,0.3,IL,North Central
305,Davie town,Florida,Small,Bike,216,0.5,0.3,FL,South
306,Davis city,California,Small,Bike,5691,18.6,1.8,CA,West
307,Daytona Beach city,Florida,Small,Bike,429,1.9,0.7,FL,South
308,De Pere city,Wisconsin,Small,Bike,75,0.6,0.4,WI,North Central
309,Dearborn city,Michigan,Small,Bike,110,0.3,0.1,MI,North Central
310,Dearborn Heights city,Michigan,Small,Bike,32,0.2,0.2,MI,North Central
311,Decatur city,Alabama,Small,Bike,0,0.0,0.1,AL,South
312,Decatur city,Illinois,Small,Bike,54,0.2,0.1,IL,North Central
313,Deer Park city,Texas,Small,Bike,65,0.4,0.5,TX,South
314,Deerfield Beach city,Florida,Small,Bike,306,0.9,0.4,FL,South
315,DeKalb city,Illinois,Small,Bike,301,1.5,0.6,IL,North Central
316,Del City city,Oklahoma,Small,Bike,0,0.0,0.3,OK,South
317,Del Rio city,Texas,Small,Bike,125,0.9,0.5,TX,South
318,DeLand city,Florida,Small,Bike,159,1.6,1.2,FL,South
319,Delano city,California,Small,Bike,41,0.3,0.4,CA,West
320,Delaware city,Ohio,Small,Bike,46,0.3,0.2,OH,North Central
321,Delray Beach city,Florida,Small,Bike,188,0.7,0.4,FL,South
322,Deltona city,Florida,Small,Bike,58,0.2,0.2,FL,South
323,Denison city,Texas,Small,Bike,34,0.4,0.4,TX,South
324,Derby city,Kansas,Small,Bike,9,0.1,0.1,KS,North Central
325,Des Moines city,Washington,Small,Bike,24,0.2,0.3,WA,West
326,Des Plaines city,Illinois,Small,Bike,167,0.6,0.3,IL,North Central
327,Desert Hot Springs city,California,Small,Bike,0,0.0,0.4,CA,West
328,DeSoto city,Texas,Small,Bike,0,0.0,0.2,TX,South
329,Diamond Bar city,California,Small,Bike,7,0.0,0.1,CA,West
330,Dinuba city,California,Small,Bike,14,0.2,0.3,CA,West
331,Dodge City city,Kansas,Small,Bike,42,0.3,0.3,KS,North Central
332,Dolton village,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
333,Doral city,Florida,Small,Bike,5,0.0,0.1,FL,South
334,Dothan city,Alabama,Small,Bike,51,0.2,0.1,AL,South
335,Douglasville city,Georgia,Small,Bike,1,0.0,0.1,GA,South
336,Dover city,Delaware,Small,Bike,12,0.1,0.1,DE,South
337,Dover city,New Hampshire,Small,Bike,43,0.3,0.3,NH,Northeast
338,Downers Grove village,Illinois,Small,Bike,176,0.7,0.4,IL,North Central
339,Draper city,Utah,Small,Bike,35,0.2,0.2,UT,West
340,Duarte city,California,Small,Bike,14,0.2,0.2,CA,West
341,Dublin city,California,Small,Bike,69,0.3,0.2,CA,West
342,Dublin city,Ohio,Small,Bike,16,0.1,0.1,OH,North Central
343,Dubuque city,Iowa,Small,Bike,43,0.1,0.1,IA,North Central
344,Duluth city,Georgia,Small,Bike,0,0.0,0.3,GA,South
345,Duluth city,Minnesota,Small,Bike,343,0.8,0.3,MN,North Central
346,Duncan city,Oklahoma,Small,Bike,18,0.2,0.3,OK,South
347,Duncanville city,Texas,Small,Bike,14,0.1,0.1,TX,South
348,Dunedin city,Florida,Small,Bike,296,1.9,0.8,FL,South
349,Dunwoody city,Georgia,Small,Bike,32,0.1,0.2,GA,South
350,Eagan city,Minnesota,Small,Bike,128,0.4,0.2,MN,North Central
351,Eagle city,Idaho,Small,Bike,48,0.6,0.5,ID,West
352,Eagle Mountain city,Utah,Small,Bike,0,0.0,0.4,UT,West
353,Eagle Pass city,Texas,Small,Bike,11,0.1,0.2,TX,South
354,Easley city,South Carolina,Small,Bike,11,0.1,0.2,SC,South
355,East Chicago city,Indiana,Small,Bike,0,0.0,0.3,IN,North Central
356,East Lansing city,Michigan,Small,Bike,1374,6.8,1.2,MI,North Central
357,East Moline city,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
358,East Orange city,New Jersey,Small,Bike,17,0.1,0.1,NJ,Northeast
359,East Palo Alto city,California,Small,Bike,440,3.6,3.6,CA,West
360,East Peoria city,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
361,East Point city,Georgia,Small,Bike,45,0.3,0.4,GA,South
362,East Providence city,Rhode Island,Small,Bike,78,0.4,0.3,RI,Northeast
363,East Ridge city,Tennessee,Small,Bike,3,0.0,0.1,TN,South
364,East St. Louis city,Illinois,Small,Bike,48,0.6,0.5,IL,North Central
365,Easton city,Pennsylvania,Small,Bike,25,0.2,0.2,PA,Northeast
366,Eastpointe city,Michigan,Small,Bike,0,0.0,0.2,MI,North Central
367,Eastvale city,California,Small,Bike,45,0.2,0.3,CA,West
368,Eau Claire city,Wisconsin,Small,Bike,389,1.1,0.3,WI,North Central
369,Eden Prairie city,Minnesota,Small,Bike,117,0.4,0.4,MN,North Central
370,Edgewater city,Florida,Small,Bike,82,0.9,0.9,FL,South
371,Edina city,Minnesota,Small,Bike,220,1.0,0.5,MN,North Central
372,Edinburg city,Texas,Small,Bike,90,0.3,0.2,TX,South
373,Edmond city,Oklahoma,Small,Bike,106,0.3,0.1,OK,South
