"LEAID	LEA_NAME	ST	d_Locale_Txt	SCHOOL_YEAR	AIAN	Asian	Black	Hispanic	White	Total	diverse	usa_state_latitude	usa_state_longitude	usa_state"
"101920	jefferson county	AL	suburban-large	2016-2017	0.171816544	0.631841485	48.76264376	8.565886102	41.5463489	36085	Diverse	32.318231	-86.902298	Alabama"
"101950	lamar county	AL	rural-remote	1994-1995	0.0	0.0	16.34904714	0.100300903	83.55065196	2991	Undiverse	32.318231	-86.902298	Alabama"
"101950	lamar county	AL	rural-remote	2016-2017	0.0	0.126796281	12.17244294	1.690617075	84.61538462	2366	Undiverse	32.318231	-86.902298	Alabama"
"101980	lanett city	AL	town-distant	1994-1995	0.0	0.0625	58.125	0.4375	41.375	1600	Diverse	32.318231	-86.902298	Alabama"
"101980	lanett city	AL	town-distant	2016-2017	0.451467269	0.564334086	79.45823928	8.35214447	9.029345372	886	Undiverse	32.318231	-86.902298	Alabama"
"102010	lauderdale county	AL	rural-distant	1994-1995	0.047114252	0.058892815	3.804475854	0.223792697	95.86572438	8490	Extremely undiverse	32.318231	-86.902298	Alabama"
"102010	lauderdale county	AL	rural-distant	2016-2017	0.214056368	0.570816982	2.830300868	1.593530741	94.05398977	8409	Extremely undiverse	32.318231	-86.902298	Alabama"
"102040	lawrence county	AL	town-distant	1994-1995	22.04134788	0.032557382	19.37164252	0.293016441	58.26143578	6143	Diverse	32.318231	-86.902298	Alabama"
"102040	lawrence county	AL	town-distant	2016-2017	11.9269861	0.477079444	9.956440572	3.401783862	71.74859988	4821	Diverse	32.318231	-86.902298	Alabama"
"102070	lee county	AL	suburban-large	1994-1995	0.029677994	0.460008903	24.61789583	0.697432854	74.19498442	6739	Diverse	32.318231	-86.902298	Alabama"
"102070	lee county	AL	suburban-large	2016-2017	0.455816845	0.631927898	22.95659381	5.635553714	66.59069719	9653	Diverse	32.318231	-86.902298	Alabama"
"102100	limestone county	AL	rural-distant	1994-1995	0.068362045	0.123051682	11.60787531	0.396499863	87.8042111	7314	Undiverse	32.318231	-86.902298	Alabama"
"102100	limestone county	AL	rural-distant	2016-2017	0.564665002	0.640677598	8.165924639	10.23998263	78.56444782	9209	Undiverse	32.318231	-86.902298	Alabama"
"102130	linden city	AL	rural-remote	1994-1995	0.0	0.141843972	89.21985816	0.283687943	10.35460993	705	Undiverse	32.318231	-86.902298	Alabama"
"102130	linden city	AL	rural-remote	2016-2017	0.0	0.0	95.34412955	1.417004049	3.036437247	494	Extremely undiverse	32.318231	-86.902298	Alabama"
"102160	lowndes county	AL	rural-distant	1994-1995	0.0	0.034118048	99.35175708	0.0	0.614124872	2931	Extremely undiverse	32.318231	-86.902298	Alabama"
"102160	lowndes county	AL	rural-distant	2016-2017	0.0	0.066312997	98.34217507	0.397877984	1.193633952	1508	Extremely undiverse	32.318231	-86.902298	Alabama"
"102190	macon county	AL	town-distant	1994-1995	0.023446659	0.257913247	93.97420868	0.164126612	5.580304807	4265	Extremely undiverse	32.318231	-86.902298	Alabama"
"102190	macon county	AL	town-distant	2016-2017	0.0	0.148294612	97.72614928	0.593178448	1.334651508	2023	Extremely undiverse	32.318231	-86.902298	Alabama"
"102220	madison county	AL	suburban-large	1994-1995	4.694316794	1.454249317	12.60543308	0.913268571	80.33273224	17191	Undiverse	32.318231	-86.902298	Alabama"
"102220	madison county	AL	suburban-large	2016-2017	6.118230674	1.720752377	19.66721786	4.237288136	65.53327821	19352	Diverse	32.318231	-86.902298	Alabama"
